objectid,title,displaydate,attribution,classification,iiifthumburl
119506,Dead End II,1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/4cbd77cc-e4d6-425a-a8ce-ea352f54eef2/full/!500,500/0/default.jpg"
119511,"Empire State Building, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/aa576ef8-259f-43cd-92b4-5ca25d6f5575/full/!500,500/0/default.jpg"
119486,"Circus Balancing Act, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/53a3f2ee-09e7-4ccf-a62b-d0c8e37fd019/full/!500,500/0/default.jpg"
119488,"Circus Acrobat, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/62e2cd3a-9dba-47d6-aeb6-5c040f521a5b/full/!500,500/0/default.jpg"
119491,"Elephants with Trainer, Circus, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/5905560b-668d-4a6d-b683-95e4e24a18b7/full/!500,500/0/default.jpg"
119492,"Equestrians, Circus, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/d3f3f56f-7bdc-40cc-85b0-5db896895f5b/full/!500,500/0/default.jpg"
119493,"Equestrians, Circus, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/2a123ca2-015b-4b1f-834c-375f31cae677/full/!500,500/0/default.jpg"
119494,"High Wire Act, Circus, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/e61b63b6-c721-44e2-9f3d-ee6a12b8604c/full/!500,500/0/default.jpg"
119518,"Laundry, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/9a73e6c3-f77c-48bd-8376-674488cdf92d/full/!500,500/0/default.jpg"
119519,"View from Hotel Algonquin, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/5cba3221-05d0-440c-8c86-107ba9595e67/full/!500,500/0/default.jpg"
119522,"Streetscape, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/8721ffef-2e8d-49e7-b619-6dde46364b6c/full/!500,500/0/default.jpg"
119527,"Wall Street ""Abyss,"" New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/8927c1de-2df0-4c5d-a35e-53bb6f352535/full/!500,500/0/default.jpg"
119445,Self-Portrait with Shutter Release,1945,Ilse Bing,Photograph,"https://api.nga.gov/iiif/f73125fb-fad1-4dd6-b0cf-9c707d6b260b/full/!500,500/0/default.jpg"
119529,Self-Portrait in Window,1947,Ilse Bing,Photograph,"https://api.nga.gov/iiif/b6766a72-73ca-4b99-841b-0f3d9b6100e3/full/!500,500/0/default.jpg"
119532,Schubi and Me,1948,Ilse Bing,Photograph,"https://api.nga.gov/iiif/8d04dadf-11ac-4f42-a2f0-7eb44482a1ce/full/!500,500/0/default.jpg"
112696,Nancy Harris,1951,Ilse Bing,Photograph,"https://api.nga.gov/iiif/b0e9ed54-0d96-45ab-985d-4887d8920291/full/!500,500/0/default.jpg"
110324,New York:  Courtyard with Laundry and Reflections of Sunlight,1952,Ilse Bing,Photograph,"https://api.nga.gov/iiif/3ce76a27-c1fd-4c1a-a381-97e4a3148dd9/full/!500,500/0/default.jpg"
119537,"My Courtyard, New York",1952,Ilse Bing,Photograph,"https://api.nga.gov/iiif/007ca3c8-aa58-4795-92a7-70856f925fe2/full/!500,500/0/default.jpg"
119538,"Self-Portrait in Antique Shop Window, rue de l'Odéon, Paris",1952,Ilse Bing,Photograph,"https://api.nga.gov/iiif/bd0388fb-ba34-4007-a072-623a8a423a88/full/!500,500/0/default.jpg"
119539,Paris,1952,Ilse Bing,Photograph,"https://api.nga.gov/iiif/4d9f3e10-cc40-408a-bd2f-1229f1b03cd7/full/!500,500/0/default.jpg"
119541,Portrait of a Shade,1953,Ilse Bing,Photograph,"https://api.nga.gov/iiif/9b2cb991-a937-4348-b8ab-d2e9d00b2392/full/!500,500/0/default.jpg"
127352,Self-Portrait,1953,Ilse Bing,Photograph,"https://api.nga.gov/iiif/2fcce94e-1319-4455-8086-d733ca0d828a/full/!500,500/0/default.jpg"
119557,Self-Portrait,1988,Ilse Bing,Photograph,"https://api.nga.gov/iiif/ee1edb3f-5021-4a1d-9d9f-08d156df8f8e/full/!500,500/0/default.jpg"
119339,"Hellerhof-Siedlung, Frankfurt--My Shadow and the Shadow of the Architect Mart Stam on the Roof",1930,Ilse Bing,Photograph,"https://api.nga.gov/iiif/4dd8b92f-158e-43e7-b75d-3e28215d46a2/full/!500,500/0/default.jpg"
119536,Self-Portrait in Mirrors,1931,Ilse Bing,Photograph,"https://api.nga.gov/iiif/1ca427ae-2b1c-4391-9b77-a4a1900fc7ad/full/!500,500/0/default.jpg"
119340,Self-Portrait with Leica,1931,Ilse Bing,Photograph,"https://api.nga.gov/iiif/8443f0f1-b8f1-40b2-9972-8fbf08db5ebf/full/!500,500/0/default.jpg"
119540,Window View,1952,Ilse Bing,Photograph,"https://api.nga.gov/iiif/7052608a-abb1-46a0-9ab2-4082d49a1b6f/full/!500,500/0/default.jpg"
